,community_name,n_y1,n_y2,n_english_learn_y1,n_english_learn_y2,n_non_english_learn_y1,n_non_english_learn_y2,n_low_income_y1,n_low_income_y2,n_hispanic_y1,n_hispanic_y2,n_schools,d_total,d_low_income,d_english_learn,d_non_english_learn,d_hispanic,pct_total,pct_low_income,pct_english_learn,pct_non_english_learn,pct_hispanic
0,ALBANY PARK,5152,5331,2921,3146,2231,2185,3564,3553,3557,3732,9,179,-11,225,-46,175,3.474378881987578,-0.30864197530864196,7.702841492639507,-2.0618556701030926,4.919876300253022
1,ARCHER HEIGHTS,5886,5827,2272,2352,3614,3475,4831,4725,5380,5351,5,-59,-106,80,-139,-29,-1.0023785253143052,-2.1941626992341132,3.5211267605633805,-3.8461538461538463,-0.5390334572490706
2,ARMOUR SQUARE,1180,1097,464,468,716,629,860,799,116,113,3,-83,-61,4,-87,-3,-7.033898305084746,-7.093023255813954,0.8620689655172413,-12.150837988826815,-2.586206896551724
3,ASHBURN,6806,6612,1572,1596,5234,5016,5223,5122,3865,3858,11,-194,-101,24,-218,-7,-2.850426094622392,-1.9337545471950985,1.5267175572519085,-4.165074512800917,-0.18111254851228978
4,AUBURN GRESHAM,4079,4080,40,64,4039,4016,3191,3089,138,175,13,1,-102,24,-23,37,0.024515812699190977,-3.196490128486368,60.0,-0.569447883139391,26.81159420289855
5,AUSTIN,7961,7844,452,598,7509,7246,6338,5990,968,1244,23,-117,-348,146,-263,276,-1.4696646149981158,-5.490691069738087,32.30088495575221,-3.502463710214409,28.512396694214875
6,AVALON PARK,1866,1734,18,21,1848,1713,1505,1398,40,62,5,-132,-107,3,-135,22,-7.07395498392283,-7.1096345514950166,16.666666666666668,-7.305194805194805,55.0
7,AVONDALE,3969,3936,1683,1709,2286,2227,3005,2859,3525,3474,9,-33,-146,26,-59,-51,-0.8314436885865457,-4.858569051580699,1.5448603683897801,-2.58092738407699,-1.446808510638298
8,BELMONT CRAGIN,12537,12338,5654,5758,6883,6580,9863,9780,11239,11105,16,-199,-83,104,-303,-134,-1.5873015873015872,-0.8415289465679814,1.839405730456314,-4.4021502251925035,-1.1922768929620073
9,BEVERLY,1353,1402,9,8,1344,1394,580,617,86,90,4,49,37,-1,50,4,3.621581670362158,6.379310344827586,-11.11111111111111,3.7202380952380953,4.651162790697675
10,BRIDGEPORT,2689,2712,638,666,2051,2046,1848,1821,776,814,5,23,-27,28,-5,38,0.8553365563406471,-1.4610389610389611,4.38871473354232,-0.24378352023403219,4.896907216494846
11,BRIGHTON PARK,8758,8481,3999,3994,4759,4487,7327,7151,8212,7947,14,-277,-176,-5,-272,-265,-3.1628225622288193,-2.4020745189026886,-0.12503125781445362,-5.715486446732506,-3.2269849001461277
12,BURNSIDE,246,235,0,0,246,235,185,190,9,15,1,-11,5,0,-11,6,-4.471544715447155,2.7027027027027026,,-4.471544715447155,66.66666666666667
13,CALUMET HEIGHTS,1185,1196,11,8,1174,1188,827,794,25,27,5,11,-33,-3,14,2,0.9282700421940928,-3.9903264812575574,-27.272727272727273,1.192504258943782,8.0
14,CHATHAM,4764,4844,40,37,4724,4807,3648,3668,79,99,12,80,20,-3,83,20,1.6792611251049538,0.5482456140350878,-7.5,1.7569856054191364,25.31645569620253
15,CHICAGO LAWN,5804,5669,2154,2192,3650,3477,4763,4619,3770,3773,10,-135,-144,38,-173,3,-2.3259820813232253,-3.0233046399328156,1.7641597028783658,-4.739726027397261,0.07957559681697612
16,CLEARING,3154,3154,580,592,2574,2562,1873,1830,2614,2650,5,0,-43,12,-12,36,0.0,-2.2957821676454886,2.0689655172413794,-0.4662004662004662,1.3771996939556235
17,DOUGLAS,3024,2850,76,73,2948,2777,2451,2283,140,149,10,-174,-168,-3,-171,9,-5.753968253968254,-6.854345165238678,-3.9473684210526314,-5.800542740841248,6.428571428571429
18,DUNNING,4581,4593,1237,1282,3344,3311,2435,2286,2765,2791,6,12,-149,45,-33,26,0.26195153896529144,-6.119096509240246,3.6378334680679063,-0.9868421052631579,0.9403254972875226
19,EAST GARFIELD PARK,3793,3591,37,39,3756,3552,3164,2894,121,121,15,-202,-270,2,-204,0,-5.325599789085157,-8.533501896333755,5.405405405405405,-5.431309904153355,0.0
20,EAST SIDE,4273,4210,1335,1430,2938,2780,3334,3195,3830,3777,6,-63,-139,95,-158,-53,-1.4743739761291832,-4.169166166766646,7.116104868913857,-5.377808032675289,-1.3838120104438643
21,EDGEWATER,4299,4341,1395,1540,2904,2801,2664,2497,1525,1586,5,42,-167,145,-103,61,0.9769713886950454,-6.268768768768769,10.394265232974911,-3.546831955922865,4.0
22,EDISON PARK,1132,1136,107,97,1025,1039,250,291,242,278,3,4,41,-10,14,36,0.35335689045936397,16.4,-9.345794392523365,1.3658536585365855,14.87603305785124
23,ENGLEWOOD,5277,5030,127,156,5150,4874,4340,4032,238,326,15,-247,-308,29,-276,88,-4.68068978586318,-7.096774193548387,22.834645669291337,-5.359223300970874,36.97478991596638
24,FOREST GLEN,1523,1659,170,170,1353,1489,245,208,308,349,3,136,-37,0,136,41,8.929743926460933,-15.10204081632653,0.0,10.051736881005173,13.311688311688311
25,FULLER PARK,181,181,7,4,174,177,149,151,17,13,1,0,2,-3,3,-4,0.0,1.342281879194631,-42.857142857142854,1.7241379310344827,-23.529411764705884
26,GAGE PARK,9530,9237,4404,4440,5126,4797,8071,7630,8913,8634,14,-293,-441,36,-329,-279,-3.074501573976915,-5.464006938421509,0.8174386920980926,-6.418259851736247,-3.130259171995961
27,GARFIELD RIDGE,4597,4483,896,945,3701,3538,2860,2758,3715,3649,6,-114,-102,49,-163,-66,-2.479878181422667,-3.5664335664335662,5.46875,-4.4042150770062145,-1.7765814266487214
28,GRAND BOULEVARD,1689,1748,12,26,1677,1722,1055,1099,48,102,7,59,44,14,45,54,3.493191237418591,4.170616113744076,116.66666666666667,2.6833631484794274,112.5
29,GREATER GRAND CROSSING,3965,3844,23,23,3942,3821,3048,2998,91,100,11,-121,-50,0,-121,9,-3.051702395964691,-1.6404199475065617,0.0,-3.069507864028412,9.89010989010989
30,HEGEWISCH,850,876,258,233,592,643,624,624,632,626,2,26,0,-25,51,-6,3.0588235294117645,0.0,-9.689922480620154,8.614864864864865,-0.9493670886075949
31,HERMOSA,3066,3148,1342,1490,1724,1658,2511,2439,2838,2904,5,82,-72,148,-66,66,2.674494455316373,-2.867383512544803,11.028315946348734,-3.82830626450116,2.3255813953488373
32,HUMBOLDT PARK,8216,8293,2071,2327,6145,5966,6728,6582,4546,4736,17,77,-146,256,-179,190,0.9371957156767283,-2.170035671819263,12.361178174794786,-2.9129373474369404,4.179498460184778
33,HYDE PARK,1529,1651,93,89,1436,1562,843,891,90,164,4,122,48,-4,126,74,7.979071288423806,5.693950177935943,-4.301075268817204,8.774373259052926,82.22222222222223
34,IRVING PARK,7455,7280,2360,2442,5095,4838,5044,4832,5391,5238,11,-175,-212,82,-257,-153,-2.347417840375587,-4.203013481363997,3.4745762711864407,-5.044160942100098,-2.8380634390651087
35,JEFFERSON PARK,1456,1524,378,387,1078,1137,618,627,549,595,2,68,9,9,59,46,4.670329670329671,1.4563106796116505,2.380952380952381,5.4730983302411875,8.37887067395264
36,KENWOOD,4253,4318,88,83,4165,4235,2682,2695,161,189,7,65,13,-5,70,28,1.528332941453092,0.48471290082028334,-5.681818181818182,1.680672268907563,17.391304347826086
37,LAKE VIEW,5947,6125,832,993,5115,5132,2201,2135,2423,2559,10,178,-66,161,17,136,2.993105767613923,-2.9986369831894595,19.35096153846154,0.33235581622678395,5.6128765992571195
38,LINCOLN PARK,5371,5451,265,314,5106,5137,1651,1607,1176,1168,7,80,-44,49,31,-8,1.4894805436603984,-2.6650514839491217,18.49056603773585,0.6071288679984332,-0.6802721088435374
39,LINCOLN SQUARE,4127,4320,732,814,3395,3506,1686,1712,1728,1672,6,193,26,82,111,-56,4.67652047492125,1.5421115065243178,11.202185792349727,3.2695139911634756,-3.240740740740741
40,LOGAN SQUARE,6545,6538,1927,1967,4618,4571,4219,3828,4728,4608,12,-7,-391,40,-47,-120,-0.10695187165775401,-9.267598957098839,2.075765438505449,-1.017756604590732,-2.5380710659898478
41,LOOP,3207,3351,168,207,3039,3144,1784,1904,1111,1164,3,144,120,39,105,53,4.490177736202058,6.726457399103139,23.214285714285715,3.4550839091806513,4.77047704770477
42,LOWER WEST SIDE,5431,5299,2256,2310,3175,2989,4442,4099,4873,4727,15,-132,-343,54,-186,-146,-2.4304916221690296,-7.7217469608284555,2.393617021276596,-5.858267716535433,-2.9961009644982557
43,MCKINLEY PARK,1158,1101,568,526,590,575,819,760,1000,947,5,-57,-59,-42,-15,-53,-4.922279792746114,-7.203907203907204,-7.394366197183099,-2.542372881355932,-5.3
44,MONTCLARE,1148,1126,469,462,679,664,868,820,959,939,1,-22,-48,-7,-15,-20,-1.916376306620209,-5.529953917050691,-1.492537313432836,-2.2091310751104567,-2.0855057351407718
45,MORGAN PARK,2813,3076,98,96,2715,2980,1806,1904,236,279,7,263,98,-2,265,43,9.349448986846783,5.426356589147287,-2.0408163265306123,9.760589318600369,18.220338983050848
46,MOUNT GREENWOOD,2501,2492,65,75,2436,2417,690,655,456,472,4,-9,-35,10,-19,16,-0.3598560575769692,-5.072463768115942,15.384615384615385,-0.7799671592775042,3.508771929824561
47,NEAR NORTH SIDE,4067,4193,393,490,3674,3703,1795,1872,987,1150,7,126,77,97,29,163,3.098106712564544,4.289693593314763,24.681933842239186,0.789330430048993,16.514690982776088
48,NEAR SOUTH SIDE,2157,2171,186,171,1971,2000,1155,1069,279,308,4,14,-86,-15,29,29,0.6490496059341678,-7.445887445887446,-8.064516129032258,1.4713343480466767,10.394265232974911
49,NEAR WEST SIDE,9988,9896,847,859,9141,9037,5829,5825,3211,2971,20,-92,-4,12,-104,-240,-0.92110532639167,-0.0686224052153028,1.4167650531286895,-1.1377311016300187,-7.47430706944877
50,NEW CITY,6556,6522,2571,2633,3985,3889,5527,5415,4835,4874,16,-34,-112,62,-96,39,-0.5186089078706528,-2.0264157770942646,2.411513029949436,-2.4090338770388957,0.8066184074457083
51,NORTH CENTER,7364,7428,316,389,7048,7039,2183,2284,2287,2325,6,64,101,73,-9,38,0.8690928843020098,4.626660558863949,23.10126582278481,-0.12769580022701477,1.6615653694796677
52,NORTH LAWNDALE,5590,5454,83,115,5507,5339,4740,4556,288,330,19,-136,-184,32,-168,42,-2.4329159212880143,-3.8818565400843883,38.55421686746988,-3.050662792809152,14.583333333333334
53,NORTH PARK,5010,5052,972,1087,4038,3965,2906,2831,2248,2268,6,42,-75,115,-73,20,0.8383233532934131,-2.5808671713695803,11.831275720164609,-1.807825656265478,0.8896797153024911
54,NORWOOD PARK,7861,7794,1221,1429,6640,6365,3050,3086,3109,3120,8,-67,36,208,-275,11,-0.8523088665564178,1.180327868852459,17.035217035217034,-4.141566265060241,0.3538115149565777
55,OAKLAND,592,633,18,25,574,608,410,444,16,21,2,41,34,7,34,5,6.925675675675675,8.292682926829269,38.888888888888886,5.923344947735192,31.25
56,OHARE,1096,1196,703,726,393,470,637,580,151,120,1,100,-57,23,77,-31,9.124087591240876,-8.948194662480377,3.271692745376956,19.59287531806616,-20.52980132450331
57,PORTAGE PARK,5184,5383,1704,1807,3480,3576,3530,3578,3629,3765,8,199,48,103,96,136,3.8387345679012346,1.3597733711048159,6.044600938967136,2.7586206896551726,3.7475888674566
58,PULLMAN,2021,2112,58,69,1963,2043,1506,1538,160,172,7,91,32,11,80,12,4.502721425037111,2.1248339973439574,18.96551724137931,4.0753948038716254,7.5
59,RIVERDALE,1569,1550,59,83,1510,1467,1298,1255,262,297,5,-19,-43,24,-43,35,-1.2109623964308476,-3.312788906009245,40.67796610169491,-2.847682119205298,13.358778625954198
60,ROGERS PARK,3415,3657,1600,1702,1815,1955,2558,2576,1412,1575,7,242,18,102,140,163,7.086383601756955,0.7036747458952306,6.375,7.7134986225895315,11.543909348441927
61,ROSELAND,4327,4069,39,45,4288,4024,3170,3024,291,303,12,-258,-146,6,-264,12,-5.9625606655881676,-4.605678233438486,15.384615384615385,-6.156716417910448,4.123711340206185
62,SOUTH CHICAGO,3761,3594,429,453,3332,3141,2980,2863,698,688,11,-167,-117,24,-191,-10,-4.440308428609413,-3.9261744966442955,5.594405594405594,-5.732292917166867,-1.4326647564469914
63,SOUTH DEERING,1297,1225,268,246,1029,979,994,954,642,605,3,-72,-40,-22,-50,-37,-5.551272166538165,-4.0241448692152915,-8.208955223880597,-4.859086491739553,-5.7632398753894085
64,SOUTH LAWNDALE,9182,8887,4282,4225,4900,4662,7699,7324,8572,8281,23,-295,-375,-57,-238,-291,-3.2128076671749075,-4.870762436680089,-1.3311536665109762,-4.857142857142857,-3.3947736817545495
65,SOUTH SHORE,4075,4090,56,79,4019,4011,3125,3216,160,182,12,15,91,23,-8,22,0.36809815950920244,2.912,41.07142857142857,-0.19905449116695695,13.75
66,UPTOWN,3243,3359,927,978,2316,2381,2100,2125,819,993,7,116,25,51,65,174,3.576934936786926,1.1904761904761905,5.501618122977346,2.8065630397236614,21.245421245421245
67,WASHINGTON HEIGHTS,4056,4025,18,19,4038,4006,3087,3059,61,78,11,-31,-28,1,-32,17,-0.7642998027613412,-0.9070294784580499,5.555555555555555,-0.79247152055473,27.868852459016395
68,WASHINGTON PARK,2641,2487,11,14,2630,2473,1900,1804,52,54,5,-154,-96,3,-157,2,-5.83112457402499,-5.052631578947368,27.272727272727273,-5.969581749049429,3.8461538461538463
69,WEST ELSDON,1785,1868,848,809,937,1059,1105,1212,1697,1769,3,83,107,-39,122,72,4.649859943977591,9.683257918552036,-4.599056603773585,13.020277481323372,4.242781378903948
70,WEST ENGLEWOOD,4285,4279,345,383,3940,3896,3034,2980,839,949,11,-6,-54,38,-44,110,-0.14002333722287047,-1.7798286090969018,11.014492753623188,-1.116751269035533,13.110846245530393
71,WEST GARFIELD PARK,1397,1351,11,22,1386,1329,1134,1064,44,67,6,-46,-70,11,-57,23,-3.29277022190408,-6.172839506172839,100.0,-4.112554112554113,52.27272727272727
72,WEST LAWN,4680,4484,1582,1640,3098,2844,3960,3807,4513,4320,5,-196,-153,58,-254,-193,-4.188034188034188,-3.8636363636363638,3.666245259165613,-8.198837959974178,-4.276534456015954
73,WEST PULLMAN,2459,2412,106,117,2353,2295,1884,1914,191,210,9,-47,30,11,-58,19,-1.9113460756405043,1.5923566878980893,10.377358490566039,-2.4649383765405863,9.947643979057592
74,WEST RIDGE,8104,8198,3433,3621,4671,4577,5561,5548,2781,2880,10,94,-13,188,-94,99,1.1599210266535045,-0.23377090451357668,5.476259831051558,-2.0124170413187756,3.559870550161812
75,WEST TOWN,10312,10728,2329,2849,7983,7879,6580,6505,6013,6283,24,416,-75,520,-104,270,4.034134988363072,-1.1398176291793314,22.327179046801202,-1.3027683828134786,4.490271079328123
76,WOODLAWN,3032,3151,26,33,3006,3118,2361,2435,64,63,7,119,74,7,112,-1,3.924802110817942,3.13426514188903,26.923076923076923,3.7258815701929473,-1.5625
